,Club,ID,Nationality,Overall,Potential,Special,Value,Wage,name
14927,Tottenham Hotspur,228053,England,60,76,1411,450000.0,7000.0,S. Harrison
14928,Estudiantes de La Plata,238037,Argentina,60,68,1355,270000.0,2000.0,N. Bazzana
14929,Rochdale,202198,England,60,65,1494,280000.0,1000.0,J. Slew
14930,Portland Timbers,220886,New Zealand,60,66,1502,240000.0,1000.0,B. Tuiloma
14931,Derry City,186838,Northern Ireland,60,60,1076,50000.0,1000.0,G. Doherty
14932,FC Lausanne-Sports,194006,Switzerland,60,61,1553,240000.0,2000.0,N. Gétaz
14933,Derry City,232920,Republic of Ireland,60,75,1582,400000.0,1000.0,C. McDermott
14934,Amkar Perm,240088,Russia,60,66,1596,290000.0,3000.0,I. Melnikov
14935,Silkeborg IF,201433,Denmark,60,65,1702,230000.0,2000.0,M. Cramer
14936,Carlisle United,173785,England,60,60,1672,200000.0,2000.0,L. Joyce
14937,Al Ahli,240857,Saudi Arabia,60,72,1572,325000.0,3000.0,A. Majrashi
14938,Real Betis Balompié,241113,Spain,60,71,1397,300000.0,1000.0,Nil Coch
14939,Wycombe Wanderers,139482,Jamaica,60,60,1739,120000.0,3000.0,M. Bean
14940,Olympique de Marseille,232410,France,60,73,953,325000.0,2000.0,F. Escales
14941,Hamburger SV,233178,Germany,60,75,1528,450000.0,3000.0,M. Köhlert
14942,İstanbul Başakşehir FK,240090,Turkey,60,77,1581,450000.0,2000.0,O. Saraçoğlu
14943,Sevilla Atlético,240858,Spain,60,72,1618,350000.0,1000.0,Viedma
14944,Port Vale,184794,England,60,60,1467,60000.0,2000.0,A. Yates
14945,Partick Thistle F.C.,218587,Republic of Ireland,60,71,1488,300000.0,1000.0,N. Keown
14946,SV Mattersburg,215517,Austria,60,72,1490,325000.0,3000.0,F. Sittsam
14947,Southend United,221149,Cyprus,60,72,1574,325000.0,1000.0,H. Kyprianou
14948,Santos Laguna,221405,Mexico,60,66,1506,290000.0,2000.0,M. Rodríguez
14949,Rot-Weiß Erfurt,225758,Turkey,60,69,1464,325000.0,1000.0,T. Uzan
14950,Villarreal CF,237022,Spain,60,74,1424,425000.0,3000.0,Víctor Narro
14951,Jagiellonia Białystok,199647,Poland,60,60,1679,210000.0,2000.0,P. Wlazło
14952,Watford,227807,England,60,77,1391,450000.0,5000.0,M. Folivi
14953,Termalica Bruk-Bet Nieciecza,234975,Poland,60,69,1346,280000.0,1000.0,P. Szarek
14954,Western Sydney Wanderers,200416,Australia,60,60,1053,140000.0,1000.0,J. Tyson
14955,Tigres FC,214241,Colombia,60,60,1489,200000.0,1000.0,J. Palacios
14956,Standard de Liège,233953,Belgium,60,76,1469,425000.0,1000.0,J. Deom
14957,Virtus Entella,236769,Italy,60,76,1420,400000.0,4000.0,E. De Santis
14958,SC Paderborn 07,239073,Germany,60,66,1452,280000.0,1000.0,C. Antwi-Adjej
14959,Bournemouth,230882,England,60,75,1346,425000.0,6000.0,J. Simpson
14960,Al Shabab,232674,Saudi Arabia,60,67,1424,240000.0,4000.0,F. Ghazi
14961,Coventry City,222947,England,60,65,1362,230000.0,2000.0,T. Davies
14962,SV Sandhausen,237540,Germany,60,68,1631,300000.0,1000.0,P. Förster
14963,Brisbane Roar,209893,Australia,60,63,1589,220000.0,1000.0,J. Pepper
14964,Hannover 96,239333,Turkey,60,73,1475,400000.0,3000.0,M. Demir
14965,Gimnasia y Esgrima La Plata,228070,Argentina,60,68,1681,290000.0,1000.0,J. Silva
14966,Chesterfield,229350,England,60,73,1483,400000.0,2000.0,D. Brewster
14967,Adelaide United,236006,Australia,60,68,1600,300000.0,1000.0,J. O'Doherty
14968,VfR Aalen,222695,Germany,60,69,1018,240000.0,1000.0,R. Husić
14969,Portland Timbers,227815,Colombia,60,72,1483,375000.0,1000.0,V. Arboleda
14970,SC Fortuna Köln,238567,Germany,60,65,1676,270000.0,1000.0,C. Theisen
14971,Guadalajara,239591,Mexico,60,70,1620,325000.0,5000.0,A. López
14972,CF Reus Deportiu,241127,Spain,60,70,1376,290000.0,1000.0,Gonzalo Pereira
14973,Galway United,194791,Republic of Ireland,60,63,1560,260000.0,1000.0,R. Murray
14974,Sangju Sangmu FC,202984,Korea Republic,60,60,1597,210000.0,1000.0,Yoon Dong Min
14975,CPD Junior Barranquilla,229352,Colombia,60,64,1064,190000.0,1000.0,J. Mosquera
14976,PEC Zwolle,231400,Netherlands,60,69,1390,280000.0,1000.0,M. Bruintjes
14977,Atalanta,237544,Italy,60,73,1420,400000.0,3000.0,L. Vido
14978,Cracovia,239848,Ukraine,60,61,1277,190000.0,1000.0,O. Dytyatev
14979,Rot-Weiß Erfurt,216297,Sri Lanka,60,70,1557,325000.0,1000.0,A. Razeek
14980,Rangers,223977,France,60,74,1388,450000.0,4000.0,A. Nemane
14981,Club América,227817,Mexico,60,72,1644,375000.0,5000.0,C. Rosel
14982,SV Sandhausen,239337,Germany,60,66,1469,280000.0,1000.0,R. Herrmann
14983,Al Taawoun,232682,Saudi Arabia,60,68,1534,300000.0,3000.0,A. Al Suwat
14984,Crawley Town,183530,England,60,60,1742,150000.0,2000.0,J. Smith
14985,Brescia,211179,Italy,60,65,1583,230000.0,1000.0,N. Lancini
14986,Cremonese,212459,Italy,60,67,1547,290000.0,1000.0,M. Cavion
14987,Temperley,225516,Argentina,60,72,1482,375000.0,1000.0,S. Martelli
14988,Guadalajara,240108,Mexico,60,70,1272,290000.0,5000.0,C. Zamora
14989,KAS Eupen,233965,Belgium,60,72,1463,375000.0,2000.0,A. Castro-Montes
14990,Cittadella,234989,Italy,60,63,1504,210000.0,1000.0,A. Benedetti
14991,VfL Bochum,239341,Germany,60,76,1697,450000.0,3000.0,L. Hemmerich
14992,Club Atlas,240109,Mexico,60,73,1321,350000.0,2000.0,E. García
14993,Sevilla Atlético,240877,Spain,60,72,1522,325000.0,1000.0,Felipe
14994,Atlanta United FC,219886,England,60,66,1607,280000.0,1000.0,H. Heath
14995,Cheltenham Town,224238,Scotland,60,67,1321,250000.0,1000.0,W. Boyle
14996,Patriotas Boyacá FC,226542,Colombia,60,64,1021,180000.0,1000.0,D. Martínez
14997,C.D. Leonesa S.A.D.,240878,Spain,60,70,1623,325000.0,1000.0,Barbero
14998,Sagan Tosu,232687,Japan,60,64,1481,220000.0,1000.0,H. Mitsumaru
14999,SC Paderborn 07,241135,Nigeria,60,66,1526,240000.0,1000.0,J. Collins
15000,Oldham Athletic,203504,Wales,60,65,1582,280000.0,1000.0,A. Amadi-Holloway
15001,Sint-Truidense VV,217584,Belgium,60,68,1399,300000.0,2000.0,S. Bourard
15002,Newell's Old Boys,232688,Argentina,60,67,1603,290000.0,2000.0,E. Franco
15003,Chacarita Juniors,240368,Argentina,60,73,1488,350000.0,1000.0,G. Lazarte
15004,AFC Eskilstuna,183792,Austria,60,60,1636,210000.0,1000.0,T. Piermayr
15005,Colchester United,204785,Scotland,60,70,1416,325000.0,2000.0,M. Mandron
15006,FC Midtjylland,229873,Denmark,60,68,1534,250000.0,2000.0,A. Munksgaard
15007,CD Feirense,234993,Nigeria,60,69,829,240000.0,1000.0,D. Alampasu
15008,Patriotas Boyacá FC,226290,Mexico,60,65,1482,280000.0,1000.0,U. Tavares
15009,Cesena,220915,Italy,60,72,1483,375000.0,1000.0,G. Moncini
15010,Morecambe,224499,England,60,69,1442,280000.0,1000.0,M. Lund
15011,Necaxa,237043,Mexico,60,69,1526,290000.0,1000.0,R. Alvarado
15012,Carpi,240627,Italy,60,68,1646,300000.0,6000.0,A. Anastasio
15013,FC Nordsjælland,241139,Denmark,60,66,1314,240000.0,2000.0,B. Hansen
15014,FC Augsburg,238068,Germany,60,73,1443,400000.0,2000.0,M. Richter
15015,Carpi,240628,Bosnia Herzegovina,60,67,1509,290000.0,1000.0,D. Šarić
15016,Coventry City,227573,Haiti,60,68,1417,300000.0,6000.0,D. Nazon
15017,Willem II,240629,Netherlands,60,70,1492,290000.0,1000.0,L. van Dijk
15018,Monarcas Morelia,182261,Mexico,60,60,1680,120000.0,2000.0,D. Mejía
15019,San Martín de San Juan,221686,Argentina,60,64,1590,220000.0,2000.0,C. Mosca
15020,Bahía Blanca,237046,Argentina,60,68,847,230000.0,1000.0,G. Villar
15021,Al Fayha,220919,Saudi Arabia,60,62,1635,250000.0,3000.0,A. Al Fahad
15022,Bari,225015,Italy,60,77,1439,400000.0,1000.0,G. Scalera
15023,Houston Dynamo,222456,England,60,66,1552,280000.0,1000.0,C. Ward
15024,VfL Wolfsburg,225784,England,60,77,1417,450000.0,5000.0,K. Hinds
15025,Śląsk Wrocław,172024,Spain,60,60,1580,120000.0,1000.0,Sito Riera
15026,Middlesbrough,231929,England,60,67,1449,270000.0,2000.0,G. Miller
15027,ADO Den Haag,240889,Netherlands,60,72,1063,280000.0,1000.0,J. van der Sar
15028,Kashiwa Reysol,232954,Japan,60,60,1412,60000.0,2000.0,R. Kurisawa
15029,Shakhtar Donetsk,237050,Ukraine,60,70,853,260000.0,1000.0,O. Kudryk
15030,Central Coast Mariners,232187,Australia,60,70,1607,280000.0,1000.0,A. Berry
15031,Djurgårdens IF,237563,Senegal,60,70,1425,325000.0,1000.0,A. Badji
15032,Bahía Blanca,241147,Argentina,60,68,1331,270000.0,1000.0,M. Ferreyra
15033,Cork City,206332,Republic of Ireland,60,65,1558,270000.0,1000.0,G. Morrissey
15034,Sevilla FC,236028,Spain,60,72,1125,290000.0,1000.0,Javi Díaz
15035,Seattle Sounders FC,237308,United States,60,68,1457,300000.0,1000.0,S. Adekoya
15036,Grimsby Town,201981,Netherlands,60,65,1516,280000.0,2000.0,A. Asante
15037,Viking FK,212733,England,60,65,1555,280000.0,1000.0,G. Green
15038,Tiburones Rojos de Veracruz,214013,Colombia,60,63,1651,210000.0,1000.0,J. Murillo
15039,FC Nordsjælland,233213,Denmark,60,67,1310,250000.0,2000.0,V. Tranberg
15040,Málaga CF,231166,Spain,60,74,1372,450000.0,2000.0,Joel Arimany
15041,Brentford,238846,Scotland,60,74,1517,450000.0,4000.0,T. Archibald
15042,Zenit St. Petersburg,239870,Russia,60,68,1336,260000.0,6000.0,M. Karpov
15043,Kaizer Chiefs,240126,South Africa,60,78,1608,400000.0,1000.0,W. Meyiwa
15044,Borussia Dortmund,228607,Germany,60,74,989,375000.0,4000.0,D. Reimann
15045,Sint-Truidense VV,231423,Belgium,60,70,1682,290000.0,1000.0,C. De Norre
15046,Carlisle United,189695,Republic of Ireland,60,60,1606,220000.0,2000.0,J. Devitt
15047,Newport County,231936,England,59,78,1350,300000.0,3000.0,B. White
15048,FC Rostov,228097,Russia,59,75,1048,280000.0,2000.0,E. Goshev
15049,Bristol City,237570,Croatia,59,73,1197,300000.0,4000.0,T. Plavotic
15050,Lincoln City,228356,England,59,73,1577,325000.0,4000.0,J. Maguire-Drew
15051,Tigres U.A.N.L.,239620,Mexico,59,70,1305,220000.0,4000.0,J. Cruz
15052,Newcastle Jets,186884,Australia,59,61,1569,160000.0,1000.0,B. Kantarovski
15053,Cheltenham Town,220677,Wales,59,68,1579,240000.0,5000.0,J. Morrell
15054,Ferrara (SPAL),220933,Italy,59,67,1509,230000.0,2000.0,A. Bellemo
15055,Strømsgodset IF,222469,Sweden,59,75,1565,325000.0,1000.0,C. Rubio Sivodedov
15056,Tigres U.A.N.L.,239621,Mexico,59,71,1462,260000.0,4000.0,J. Celaya
15057,Spartak Moscow,240901,Portugal,59,74,1465,325000.0,5000.0,Idrisa Sambú
15058,NAC Breda,238854,Belgium,59,65,1530,210000.0,2000.0,O. Rommens
15059,Rayo Vallecano,240902,Spain,59,73,1483,325000.0,1000.0,Sergio Benito
15060,D.C. United,221447,United States,59,64,1402,180000.0,1000.0,J. Robinson
15061,BK Häcken,222471,Norway,59,63,987,140000.0,1000.0,J. Rasheed
15062,Forest Green,225543,England,59,71,1058,220000.0,1000.0,B. Collins
15063,Chelsea,241160,England,59,79,1521,300000.0,4000.0,G. McEachran
15064,Fleetwood Town,224009,Nigeria,59,63,1486,170000.0,1000.0,E. Ekpolo
15065,Yeovil Town,234249,England,59,72,1436,280000.0,5000.0,S. Surridge
15066,La Equidad,236297,Colombia,59,72,1480,300000.0,1000.0,M. Cortés
15067,Sagan Tosu,238345,Japan,59,70,1465,250000.0,1000.0,K. Tagawa
15068,Carlisle United,200714,England,59,64,1468,210000.0,2000.0,H. Hope
15069,St. Patrick's Athletic,227082,Republic of Ireland,59,72,1553,300000.0,1000.0,D. Markey
15070,Lechia Gdańsk,228875,Switzerland,59,69,1456,250000.0,1000.0,João Oliveira
15071,Colchester United,229643,England,59,76,1417,300000.0,1000.0,C. James
15072,ADO Den Haag,240139,Netherlands,59,74,1426,300000.0,1000.0,D. Ladan
15073,Leeds United,219660,Republic of Ireland,59,70,1438,270000.0,4000.0,E. Stokes
15074,FC Thun,229900,Switzerland,59,71,1598,280000.0,2000.0,S. Lauper
15075,Bournemouth,234252,England,59,76,1370,290000.0,4000.0,C. Jordan
15076,Al Batin,210701,Saudi Arabia,59,63,1583,170000.0,2000.0,M. Al Khodary
15077,Bury,228365,England,59,67,1419,230000.0,7000.0,T. Heardman
15078,Stoke City,229901,Scotland,59,76,1307,290000.0,4000.0,H. Souttar
15079,Wolfsberger AC,224270,Austria,59,68,1439,240000.0,2000.0,B. Gschweidl
15080,Aston Villa,224526,Australia,59,69,1623,250000.0,4000.0,J. Lyden
15081,Monterrey,235534,Mexico,59,74,1573,270000.0,3000.0,D. Parra
15082,Deportivo Toluca,239630,Mexico,59,67,1444,230000.0,2000.0,I. Zamora
15083,Djurgårdens IF,227855,Sweden,59,72,1611,290000.0,1000.0,B. Sabovic
15084,Ventforet Kofu,232975,Japan,59,59,1431,20000.0,1000.0,H. Yamamoto
15085,Chievo Verona,240656,Italy,59,74,1016,250000.0,1000.0,F. Pavoni
15086,Bury,221457,Italy,59,64,1064,150000.0,1000.0,L. Fasan
15087,Rochdale,224017,Wales,59,71,1534,250000.0,8000.0,J. Williams
15088,BK Häcken,227601,Sweden,59,69,1636,250000.0,1000.0,A. Andersson
15089,Pachuca,235537,Mexico,59,74,1410,300000.0,3000.0,E. Sánchez
15090,Östersunds FK,192273,Sweden,59,59,930,60000.0,1000.0,E. Hedvall
15091,Atlético Tucumán,227602,Argentina,59,66,1595,220000.0,2000.0,F. Álvarez
15092,Kilmarnock,230162,Scotland,59,74,1578,290000.0,1000.0,I. Wilson
15093,Reading,235026,England,59,75,1506,290000.0,2000.0,O. Richards
15094,Ventforet Kofu,232979,Japan,59,59,1446,20000.0,1000.0,T. Tsuda
15095,Doncaster Rovers,237332,England,59,66,1551,220000.0,2000.0,A. May
15096,VVV-Venlo,240148,Netherlands,59,69,1536,230000.0,1000.0,J. Rijkers
15097,Royal Excel Mouscron,237077,Cameroon,59,68,1602,240000.0,2000.0,F. Boya
15098,Chacarita Juniors,240405,Argentina,59,70,1448,230000.0,1000.0,J. González
15099,Blackburn Rovers,236310,England,59,71,1476,240000.0,1000.0,S. Hart
15100,Örebro SK,159255,Sweden,59,59,1563,90000.0,1000.0,P. Haginge
15101,Sagan Tosu,232727,Japan,59,59,1431,150000.0,1000.0,K. Ikeda
15102,Argentinos Juniors,213272,Argentina,59,65,1062,160000.0,1000.0,L. Cháves
15103,Arsenal,231448,England,59,83,1471,350000.0,7000.0,R. Nelson
15104,1. FSV Mainz 05,235800,Croatia,59,74,1465,300000.0,2000.0,M. Šverko
15105,Atlético Bucaramanga,239640,Colombia,59,67,1413,230000.0,1000.0,J. Cortés
15106,Club América,237849,Mexico,59,76,1451,325000.0,5000.0,R. Marín
15107,Stabæk Fotball,240921,Venezuela,59,75,1492,300000.0,1000.0,R. Hernández
15108,Cambridge United,229914,Republic of Ireland,59,66,1663,220000.0,2000.0,E. Osadebe
15109,Panathinaikos FC,237082,Greece,59,73,1382,325000.0,1000.0,S. Pispas
15110,Albirex Niigata,173338,Japan,59,59,1580,80000.0,1000.0,T. Tanaka
15111,Drogheda United,212763,Republic of Ireland,59,69,1089,190000.0,1000.0,S. McGuinness
15112,Chacarita Juniors,240411,Argentina,59,64,1585,200000.0,2000.0,A. Módula
15113,Southampton,236316,France,59,70,1484,210000.0,5000.0,Y. Valery
15114,Jeonbuk Hyundai Motors,237085,Korea Republic,59,70,1489,250000.0,1000.0,Yoo Seung Min
15115,Vegalta Sendai,232479,Japan,59,69,1421,260000.0,1000.0,T. Nishimura
15116,Jeonbuk Hyundai Motors,237089,Korea Republic,59,65,1537,180000.0,1000.0,Park Won Jae
15117,FC Erzgebirge Aue,237602,Germany,59,71,1471,240000.0,1000.0,M. Ngwisani
15118,Chemnitzer FC,201251,Ukraine,59,60,1373,190000.0,1000.0,M. Slavov
15119,Feyenoord,241187,Netherlands,59,79,1431,280000.0,1000.0,L. Geertruida
15120,Al Raed,225061,Saudi Arabia,59,67,997,170000.0,3000.0,A. Al Harbi
15121,San Jose Earthquakes,229669,Brazil,59,73,1395,300000.0,1000.0,Matheus Silva
15122,Medicana Sivasspor,240933,Turkey,59,69,1460,250000.0,2000.0,O. Ayın
15123,Northampton Town,212006,England,59,65,1631,220000.0,1000.0,B. Waters
15124,Derby County,227878,England,59,73,1618,350000.0,6000.0,C. Guy
15125,Dinamo Moscow,231718,Russia,59,77,1468,325000.0,3000.0,A. Terekhov
15126,Club América,236840,Mexico,59,68,1599,210000.0,5000.0,L. Amador
15127,FC Ingolstadt 04,237608,Germany,59,71,1433,230000.0,2000.0,L. Gerlspeck
15128,LOSC Lille,237609,Albania,59,74,1419,325000.0,4000.0,A. Zeka
15129,PEC Zwolle,241193,Netherlands,59,68,1467,210000.0,1000.0,S. Woudstra
15130,Gillingham,197930,Antigua & Barbuda,59,62,1572,200000.0,2000.0,J. Parker
15131,Bourg en Bresse Péronnas 01,228906,France,59,59,1639,40000.0,1000.0,P. Dimitriou
15132,Leicester City,235051,England,59,76,1466,290000.0,4000.0,D. Johnson
15133,Wycombe Wanderers,235307,England,59,68,1449,240000.0,2000.0,D. Southwell
15134,Colchester United,237355,England,59,66,1342,220000.0,2000.0,N. Kabamba
15135,Willem II,240171,Australia,59,76,1379,280000.0,1000.0,D. Ryan
15136,Limerick FC,215084,France,59,62,1561,190000.0,1000.0,B. Héry
15137,Chamois Niortais FC,236588,France,59,74,1584,325000.0,1000.0,Q. Bena
15138,Patriotas Boyacá FC,239660,Colombia,59,66,1570,220000.0,1000.0,L. Angulo
15139,Vercelli,220461,Italy,59,66,1464,180000.0,1000.0,L. Barlocco
15140,Werder Bremen II,239661,United States,59,74,1446,325000.0,1000.0,I. Young
15141,FC Augsburg,204334,Greece,59,65,1010,150000.0,2000.0,I. Gelios
15142,Cheltenham Town,221486,Finland,59,66,1327,190000.0,2000.0,D. O'Shaughnessy
15143,FC Ural,233518,Azerbaijan,59,68,1396,240000.0,4000.0,A. Guliev
15144,Newcastle Jets,235054,Australia,59,67,1531,200000.0,1000.0,I. Vujica
15145,IK Sirius,237359,Sweden,59,63,913,140000.0,1000.0,L. Jonsson
15146,Carpi,226864,Italy,59,65,1047,160000.0,2000.0,M. Brunelli
15147,HJK Helsinki,234288,Finland,59,69,887,190000.0,1000.0,M. Uusitalo
15148,Borussia Mönchengladbach,235056,Germany,59,75,1501,350000.0,4000.0,B. Simakala
15149,Bristol Rovers,229681,England,59,66,1367,190000.0,1000.0,J. Burn
15150,Limerick FC,200498,Republic of Ireland,59,62,1352,160000.0,1000.0,D. O'Connor
15151,FC Helsingør,239154,Denmark,59,67,1307,200000.0,1000.0,M. Fisch
15152,1. FC Heidenheim,236596,Bosnia Herzegovina,59,73,1246,300000.0,1000.0,I. Hajtic
15153,Tigres FC,236852,Colombia,59,65,1372,180000.0,1000.0,J. Garay
15154,Śląsk Wrocław,219701,Poland,59,69,1003,190000.0,1000.0,J. Wrąbel
15155,Jeonnam Dragons,232245,Korea Republic,59,64,1528,180000.0,1000.0,Han Ji Won
15156,Argentinos Juniors,225590,Argentina,59,70,1515,270000.0,2000.0,I. Colman
15157,Stade de Reims,229942,France,59,72,1205,260000.0,1000.0,A. Disasi
15158,Drogheda United,157240,Republic of Ireland,59,59,1499,100000.0,1000.0,S. Elliott
15159,Rotherham United,228152,England,59,70,1380,240000.0,1000.0,E. Onariase
15160,Hallescher FC,239928,Germany,59,64,1293,180000.0,1000.0,T. Müller
15161,Dundee FC,202809,England,59,62,1704,200000.0,1000.0,R. Deacon
15162,Aberdeen,208697,Republic of Ireland,59,68,1037,180000.0,1000.0,D. Rogers
15163,FC Dallas,224569,United States,59,71,1601,280000.0,1000.0,C. Craft
15164,Sporting Kansas City,229433,United States,59,71,1008,220000.0,1000.0,A. Zendejas
15165,FC Ural,228923,Russia,59,73,1494,325000.0,3000.0,A. Scherbakov
15166,Sanfrecce Hiroshima,232507,Japan,59,60,878,120000.0,1000.0,R. Hironaga
15167,Málaga CF,229948,Scotland,59,73,1421,350000.0,3000.0,J. Harper
15168,Rangers,236348,Finland,59,77,1411,325000.0,4000.0,S. Atakayi
15169,Hannover 96,237884,Germany,59,70,1515,220000.0,3000.0,L. Ritzka
15170,Barnsley,206653,England,59,67,1677,230000.0,2000.0,B. Potts
15171,Tigres FC,236861,Colombia,59,68,1390,210000.0,1000.0,F. Mosquera
15172,Nîmes Olympique,225855,France,59,66,1488,220000.0,1000.0,A. Bobichon
15173,Spartak Moscow,233791,Russia,59,72,898,230000.0,2000.0,A. Maksimenko
15174,VfL Osnabrück,238655,United States,59,65,1293,220000.0,1000.0,R. Kristo
15175,Chacarita Juniors,240447,Argentina,59,65,1509,210000.0,2000.0,L. Destéfano
15176,Southend United,220994,England,59,69,1509,250000.0,1000.0,J. Bridge
15177,Partick Thistle F.C.,213571,England,59,62,1700,160000.0,1000.0,C. Elliott
15178,Deportivo Toluca,222787,Mexico,59,67,1428,230000.0,2000.0,M. Abundiz
15179,VfR Aalen,229187,Germany,59,69,1374,260000.0,1000.0,C. Kader
15180,Borussia Dortmund,240451,Germany,59,78,1510,290000.0,3000.0,J. Beste
15181,Rot-Weiß Erfurt,239172,Germany,59,72,1108,230000.0,1000.0,M. Engl
15182,Pescara,215365,Italy,59,65,1440,220000.0,1000.0,L. Forte
15183,Ettifaq FC,236357,Saudi Arabia,59,67,1520,190000.0,2000.0,A. Al Bukhari
15184,FC Helsingør,189255,Denmark,59,59,1628,120000.0,2000.0,R. Olsen
15185,Heart of Midlothian,227656,France,59,65,1373,210000.0,4000.0,M. Milinković
15186,SCR Altach,239432,Austria,59,67,1476,230000.0,2000.0,A. Grbic
15187,Talleres de Cordoba,240456,Argentina,59,69,1431,250000.0,2000.0,G. Bianchini
15188,Hokkaido Consadole Sapporo,191560,Japan,59,59,925,20000.0,1000.0,T. Sugiyama
15189,Banfield,240969,Argentina,59,81,1465,350000.0,2000.0,J. Carranza
15190,Cheltenham Town,229962,England,59,59,1662,140000.0,2000.0,K. Storer
15191,La Equidad,225355,Colombia,59,69,1638,220000.0,1000.0,W. Parra
15192,Halmstads BK,212812,Japan,59,66,1424,220000.0,1000.0,K. Kinoshita
15193,Monarcas Morelia,239948,Mexico,59,73,1453,325000.0,1000.0,S. Reyes
15194,Gillingham,228685,England,59,67,1480,230000.0,1000.0,E. List
15195,Bray Wanderers,198990,Republic of Ireland,59,61,1609,190000.0,1000.0,R. Brennan
15196,Cambridge United,207950,England,59,67,1449,230000.0,3000.0,A. Azeez
15197,Águilas Doradas,237646,Colombia,59,73,1400,300000.0,1000.0,D. Muñoz
15198, SSV Jahn Regensburg,238670,Germany,59,68,1430,240000.0,2000.0,K. Hoffmann
15199,SC Preußen Münster,224335,Germany,59,72,1553,300000.0,1000.0,L. Cueto
15200,Nîmes Olympique,226127,France,59,66,1422,220000.0,1000.0,C. Deprès
15201,Torino,237391,Italy,59,72,1322,280000.0,4000.0,M. De Luca
15202,Cádiz C.F.,240719,Spain,59,69,1477,220000.0,1000.0,Mario Sánchez
15203,Djurgårdens IF,233040,Sweden,59,67,1511,200000.0,1000.0,J. Augustinsson
15204,Swindon Town,203090,England,59,68,1091,180000.0,2000.0,R. Charles-Cook
15205,FC Metz,237138,France,59,67,1503,220000.0,1000.0,Y. Maziz
15206,Górnik Zabrze,211283,Poland,59,65,1518,210000.0,1000.0,K. Nowak
15207,Novara,229459,Argentina,59,66,1493,220000.0,1000.0,N. Schiavi
15208,Willem II,237395,Netherlands,59,70,1326,200000.0,1000.0,V. van den Bogert
15209,Temperley,240211,Argentina,59,66,1458,220000.0,1000.0,G. Gentile
15210,Fortuna Düsseldorf,233812,Germany,59,72,1513,260000.0,2000.0,A. Lucoqui
15211,Pogoń Szczecin,229973,Poland,59,74,1539,300000.0,1000.0,J. Piotrowski
15212,Barnsley,233045,England,59,74,1355,325000.0,1000.0,I. Ugbo
15213,Swansea City,235605,England,59,76,1474,300000.0,4000.0,T. Reid
15214,FC Krasnodar,240213,Russia,59,66,1317,190000.0,4000.0,A. Gritsaenko
15215,RC Strasbourg,240725,France,59,76,1384,290000.0,2000.0,I. Aaneba
15216,Manchester City,229718,England,59,75,1563,325000.0,7000.0,W. Patching
15217,Tromsø IL,235606,Norway,59,70,894,210000.0,1000.0,J. Karlstrøm
15218,New York Red Bulls,237398,United States,59,68,1618,210000.0,1000.0,D. Metzger
15219,Barnet,204887,Spain,59,63,1674,200000.0,2000.0,Ruben Bover
15220,Jönköpings Södra IF,231511,Sweden,59,59,1459,160000.0,1000.0,J. Svensson
15221,Atlético Bucaramanga,237143,Colombia,59,67,1506,200000.0,1000.0,H. Suárez
15222,La Equidad,237655,Colombia,59,65,1501,210000.0,1000.0,B. De Alba
15223,Bristol City,231512,England,59,78,1456,290000.0,3000.0,L. Kelly
15224,SV Darmstadt 98,240472,China PR,59,68,1302,210000.0,2000.0,Hu Ruibao
15225,Deportivo Toluca,211033,Mexico,59,64,1180,150000.0,1000.0,L. García
15226, SSV Jahn Regensburg,233305,Croatia,59,70,1497,270000.0,2000.0,P. Dzalto
15227,Belgrano de Córdoba,239193,Argentina,59,75,1524,325000.0,1000.0,B. Volpini
15228,US Orléans Loiret Football,239449,France,59,67,1482,230000.0,1000.0,I. Bamba
15229,Clermont Foot 63,240729,France,59,73,1388,325000.0,1000.0,L. Rajot
15230,Sligo Rovers,183641,Republic of Ireland,59,59,1482,150000.0,1000.0,V. Faherty
15231,Werder Bremen II,224091,Germany,59,71,1573,280000.0,1000.0,D. Rosin
15232,Holstein Kiel,238683,Germany,59,69,1448,220000.0,1000.0,A. Sicker
15233,Örebro SK,202332,Iceland,59,59,1581,120000.0,1000.0,H. Valgarðsson
15234,Termalica Bruk-Bet Nieciecza,212573,Latvia,59,60,1512,150000.0,1000.0,V. Maksimenko
15235,Rubin Kazan,213853,Russia,59,65,1505,220000.0,6000.0,K. Mullin
15236,Yeovil Town,223069,England,59,71,1296,250000.0,1000.0,O. Sowunmi
15237,,228189,India,59,59,1548,0.0,0.0,K. Pereira
15238,Blackpool,200286,England,59,61,1495,150000.0,2000.0,K. Mellor
15239,Örebro SK,226654,Sweden,59,65,1535,180000.0,1000.0,S. Ring
15240,Port Vale,233310,Republic of Ireland,59,75,1623,300000.0,1000.0,G. Kelly
15241,Yokohama F. Marinos,237918,Japan,59,64,863,150000.0,1000.0,D. Sugimoto
15242,Ascoli,240991,Italy,59,68,1371,210000.0,1000.0,F. Florio
15243,Oxford United,120415,Scotland,59,59,1037,20000.0,1000.0,S. Shearer
15244,Rio Ave FC,235872,Portugal,59,69,1572,240000.0,1000.0,Vitó Ferreira
15245,Evkur Yeni Malatyaspor,240480,Turkey,59,66,1432,220000.0,2000.0,F. Yiğit
15246,Crotone,240736,Italy,59,76,1477,325000.0,1000.0,G. Borello
15247,Cork City,202594,Republic of Ireland,59,59,1719,120000.0,1000.0,S. Beattie
